refid,study,population,sensitivity1,sensitivity2,randomizedstudy,aphasia,stroke,stroketime,timesincestrokeorwithaphasia,fluentaphasia,intervention,control,comparison,outcome,surrogate,rythmbasedtherapy,mit,mit2,improvisation,familiarmusic,musicalexperience,outcomename,instrument,domain,subdomain,interventiontime,interventiontimemonths,followup,n1,m1,msd1,ma1,masd1,mch1,mchsd1,n2,m2,msd2,ma2,masd2,mch2,mchsd2,cohen,meanafter,meanchange,orderoutcome1,surrout
62,"Raglio, 2015",All,1,2,1,All,Yes,,NA,Both,Music therapy + Speech and language therapy,Speech and language therapy,MST vs ST,Comprehension,Auditory comprehension,Rhythm-based therapy,No melodic intonation therapy,no MIT,Improvisation,no,Patients without musical experience,Auditory comprehension,Token Test,NA,NA,15 weeks,15 weeks,,10,14,17.78000069,16,12.59000015,,,10,13,10.36999989,15,9.630000114,,,,1,0,2,2
62,"Raglio, 2015",All,1,2,1,All,Yes,,NA,Both,Music therapy + Speech and language therapy,Speech and language therapy,MST vs ST,Mood,Depressive symptoms,Rhythm-based therapy,No melodic intonation therapy,no MIT,Improvisation,no,Patients without musical experience,Depression symptoms,Beck Depression Inventory,NA,NA,15 weeks,15 weeks,,10,-7,6.670000076,-8,7.400000095,,,10,-8,5.929999828,-9,5.190000057,,,,1,0,3,
62,"Raglio, 2015",All,1,2,1,All,Yes,,NA,Both,Music therapy + Speech and language therapy,Speech and language therapy,MST vs ST,,Emotional stability,Rhythm-based therapy,No melodic intonation therapy,no MIT,Improvisation,no,Patients without musical experience,Personality characteristics,Big Five Observer,Emotional stability,NA,15 weeks,15 weeks,,10,55,14.06999969,54,14.81000042,,,10,61,8.149999619,61,20,,,,1,0,,3
62,"Raglio, 2015",All,1,2,1,All,Yes,,NA,Both,Music therapy + Speech and language therapy,Speech and language therapy,MST vs ST,,Energy,Rhythm-based therapy,No melodic intonation therapy,no MIT,Improvisation,no,Patients without musical experience,Personality characteristics,Big Five Observer,Energy/extroversion,NA,15 weeks,15 weeks,,10,45,15.5,51,15.5,,,10,60,10.36999989,66,12.59000015,,,,1,0,,3
62,"Raglio, 2015",All,1,2,1,All,Yes,,NA,Both,Music therapy + Speech and language therapy,Speech and language therapy,MST vs ST,,,Rhythm-based therapy,No melodic intonation therapy,no MIT,Improvisation,no,Patients without musical experience,Personality characteristics,Big Five Observer,Friendship,NA,15 weeks,15 weeks,,10,54,17.03000069,54,20,,,10,50,17.04000092,52,14.06999969,,,,1,0,,
62,"Raglio, 2015",All,1,2,1,All,Yes,,NA,Both,Music therapy + Speech and language therapy,Speech and language therapy,MST vs ST,,,Rhythm-based therapy,No melodic intonation therapy,no MIT,Improvisation,no,Patients without musical experience,Personality characteristics,Big Five Observer,Diligence,NA,15 weeks,15 weeks,,10,48,8.149999619,43,11.10000038,,,10,60,15.5,53,17.04000092,,,,1,0,,
62,"Raglio, 2015",All,1,2,1,All,Yes,,NA,Both,Music therapy + Speech and language therapy,Speech and language therapy,MST vs ST,,,Rhythm-based therapy,No melodic intonation therapy,no MIT,Improvisation,no,Patients without musical experience,Personality characteristics,Big Five Observer,Emotional stability,NA,15 weeks,15 weeks,,10,-55,14.06999969,-54,14.81000042,,,10,-61,8.149999619,-61,20,,,,1,0,,
62,"Raglio, 2015",All,1,2,1,All,Yes,,NA,Both,Music therapy + Speech and language therapy,Speech and language therapy,MST vs ST,,,Rhythm-based therapy,No melodic intonation therapy,no MIT,Improvisation,no,Patients without musical experience,Personality characteristics,Big Five Observer,Open Mindness,NA,15 weeks,15 weeks,,10,49,14.80000019,46,19.26000023,,,10,59,14.81000042,62,10.36999989,,,,1,0,,
62,"Raglio, 2015",All,1,2,1,All,Yes,,NA,Both,Music therapy + Speech and language therapy,Speech and language therapy,MST vs ST,,Naming,Rhythm-based therapy,No melodic intonation therapy,no MIT,Improvisation,no,Patients without musical experience,speech language ,Boston Naming test  ,NA,NA,15 weeks,15 weeks,,10,18,23.70000076,19,25.92000008,,,10,18,24.39999962,17,24.39999962,,,,1,0,,1
62,"Raglio, 2015",All,1,2,1,All,Yes,,NA,Both,Music therapy + Speech and language therapy,Speech and language therapy,MST vs ST,Social abilities,,Rhythm-based therapy,No melodic intonation therapy,no MIT,Improvisation,no,Patients without musical experience,Quality of life,SF36,Social Activity,NA,15 weeks,15 weeks,,10,81,37.04000092,56,34.81000137,,,10,75,32.59000015,50,41.47999954,,,,1,0,4,
62,"Raglio, 2015",All,1,2,1,All,Yes,,NA,Both,Music therapy + Speech and language therapy,Speech and language therapy,MST vs ST,,,Rhythm-based therapy,No melodic intonation therapy,no MIT,Improvisation,no,Patients without musical experience,Quality of life,SF36,Physical activity,NA,15 weeks,15 weeks,,10,45,40,55,38.52000046,,,10,20,54.81000137,30,61.47999954,,,,1,0,,
62,"Raglio, 2015",All,1,2,1,All,Yes,,NA,Both,Music therapy + Speech and language therapy,Speech and language therapy,MST vs ST,,,Rhythm-based therapy,No melodic intonation therapy,no MIT,Improvisation,no,Patients without musical experience,Quality of life,SF36,Physical pain,NA,15 weeks,15 weeks,,10,75,37.04000092,80,23.70000076,,,10,80,25.93000031,72,33.29999924,,,,1,0,,
62,"Raglio, 2015",All,1,2,1,All,Yes,,NA,Both,Music therapy + Speech and language therapy,Speech and language therapy,MST vs ST,,,Rhythm-based therapy,No melodic intonation therapy,no MIT,Improvisation,no,Patients without musical experience,Quality of life,SF36,Vitality,NA,15 weeks,15 weeks,,10,63,24.39999962,55,24.39999962,,,10,70,14.81000042,62,37.04000092,,,,1,0,,
62,"Raglio, 2015",All,1,2,1,All,Yes,,NA,Both,Music therapy + Speech and language therapy,Speech and language therapy,MST vs ST,Quality of life - General health,,Rhythm-based therapy,No melodic intonation therapy,no MIT,Improvisation,no,Patients without musical experience,Quality of life,SF36,General Health,NA,15 weeks,15 weeks,,10,72,11.85000038,54,20.73999977,,,10,70,9.630000114,70,17.04000092,,,,1,0,7,
62,"Raglio, 2015",All,1,2,1,All,Yes,,NA,Both,Music therapy + Speech and language therapy,Speech and language therapy,MST vs ST,Quality of life - Mental health,,Rhythm-based therapy,No melodic intonation therapy,no MIT,Improvisation,no,Patients without musical experience,Quality of life,SF36,Mental Health,NA,15 weeks,15 weeks,,10,72,11.85000038,54,20.73999977,,,10,84,9.630000114,76,40,,,,1,0,5,
62,"Raglio, 2015",All,1,2,1,All,Yes,,NA,Both,Music therapy + Speech and language therapy,Speech and language therapy,MST vs ST,Quality of life - Physical health,,Rhythm-based therapy,No melodic intonation therapy,no MIT,Improvisation,no,Patients without musical experience,Quality of life,SF36,Physical Health,NA,15 weeks,15 weeks,,10,62,73.30000305,41,46.59999847,,,10,75,55.5,50,64.40000153,,,,1,0,6,
62,"Raglio, 2015",All,1,2,1,All,Yes,,NA,Both,Music therapy + Speech and language therapy,Speech and language therapy,MST vs ST,Speech improvement,Spontanous speech,Rhythm-based therapy,No melodic intonation therapy,no MIT,Improvisation,no,Patients without musical experience,speech language ,AAT,Spontaneous speech,NA,15 weeks,15 weeks,,10,14,10.36999989,17,9.619999886,,,10,14,10.36999989,14,12.59000015,,,,1,0,1,1
62,"Raglio, 2015",All,1,2,1,All,Yes,,NA,Both,Music therapy + Speech and language therapy,Speech and language therapy,MST vs ST,,Story telling,Rhythm-based therapy,No melodic intonation therapy,no MIT,Improvisation,no,Patients without musical experience,Speech language ,AAT ,Picture description,NA,15 weeks,15 weeks,,10,14,14.06999969,19,14.06999969,,,10,16,10.36999989,16,10.36999989,,,,1,0,,1
80,"Van der Meulen, 2014",All,1,2,1,All,Yes,Subacute,2-3 months,Nonfluent aphasia,MIT,no MIT,MIT vs no-MIT,,Naming,Rhythm-based therapy,Melodic intonation therapy,original MIT,No improvisation,no,Patients without musical experience,Naming,AAT ,Naming,NA,6 weeks,6 weeks,,16,,,36,33.70000076,20.5,20.10000038,11,,,17.60000038,16.20000076,5,18.70000076,,1,1,,1
80,"Van der Meulen, 2014",All,1,2,1,All,Yes,Subacute,2-3 months,Nonfluent aphasia,MIT,no MIT,MIT vs no-MIT,,Repetition,Rhythm-based therapy,Melodic intonation therapy,original MIT,No improvisation,no,Patients without musical experience,Repetition,AAT,Repetition,NA,6 weeks,6 weeks,,16,,,69.59999847,32.90000153,28.5,21.60000038,11,,,48.90000153,35,11.80000019,17.39999962,,1,1,,1
80,"Van der Meulen, 2014",All,1,2,1,All,Yes,Subacute,2-3 months,Nonfluent aphasia,MIT,no MIT,MIT vs no-MIT,,Repetition trained items,Rhythm-based therapy,Melodic intonation therapy,original MIT,No improvisation,no,Patients without musical experience,trained utterances,MIT repetition task,trained items,NA,6 weeks,6 weeks,,16,,,32.59999847,17.60000038,17.60000038,11.80000019,11,,,15.10000038,15.89999962,2.299999952,5.599999905,,1,1,,4
80,"Van der Meulen, 2014",All,1,2,1,All,Yes,Subacute,2-3 months,Nonfluent aphasia,MIT,no MIT,MIT vs no-MIT,,,Rhythm-based therapy,Melodic intonation therapy,original MIT,No improvisation,no,Patients without musical experience,Total ,MIT repetition task,total,NA,6 weeks,6 weeks,,16,,,54.20000076,34.90000153,27.5,17.89999962,11,,,29.20000076,32,8.100000381,11.80000019,,1,1,,
80,"Van der Meulen, 2014",All,1,2,1,All,Yes,Subacute,2-3 months,Nonfluent aphasia,MIT,no MIT,MIT vs no-MIT,,Repetition untrained items,Rhythm-based therapy,Melodic intonation therapy,original MIT,No improvisation,no,Patients without musical experience,untrained utterances,MIT repetition task,untrained items,NA,6 weeks,6 weeks,,16,,,21.60000038,18.5,9.899999619,7.800000191,11,,,14.10000038,16.20000076,5.800000191,7.300000191,,1,1,,4
80,"Van der Meulen, 2014",All,1,2,1,All,Yes,Subacute,2-3 months,Nonfluent aphasia,MIT,no MIT,MIT vs no-MIT,Speech improvement,Spontanous speech,Rhythm-based therapy,Melodic intonation therapy,original MIT,No improvisation,no,Patients without musical experience,verbal communication in daily life,ANELT ,NA,NA,6 weeks,6 weeks,,16,,,19.60000038,10.69999981,6.599999905,6.900000095,11,,,15,10.19999981,2.299999952,5.400000095,,1,1,1,1
80,"Van der Meulen, 2014",All,1,2,1,All,Yes,Subacute,2-3 months,Nonfluent aphasia,MIT,no MIT,MIT vs no-MIT,,Story telling,Rhythm-based therapy,Melodic intonation therapy,original MIT,No improvisation,no,Patients without musical experience,connected speech,Sabadell Story retelling task,NA,NA,6 weeks,6 weeks,,16,,,11.69999981,19.70000076,6.099999905,13.89999962,11,,,7.900000095,11.69999981,5.199999809,11.60000038,,1,1,,1
91,"Conklyn, 2012",All,1,2,1,Broca,Yes,,<9 months,Nonfluent aphasia (Broca),MMIT,no MMIT,MMIT vs no-MMIT,,Repetition,Rhythm-based therapy,Melodic intonation therapy,modified MIT,No improvisation,no,Patients without musical experience,Repetitive,Modified Western Aphasia Battery,Repetition,NA,NA,NA,,14,19.10000038,15.69999981,23.89999962,14.39999962,4.699999809,11.10000038,10,16.39999962,14.30000019,15.39999962,15.39999962,-1,5.800000191,,1,1,,1
91,"Conklyn, 2012",All,1,2,1,Broca,Yes,,<9 months,Nonfluent aphasia (Broca),MMIT,no MMIT,MMIT vs no-MMIT,,Spontanous speech,Rhythm-based therapy,Melodic intonation therapy,modified MIT,No improvisation,no,Patients without musical experience,Responsive,Modified Western Aphasia Battery,Responsiveness,NA,NA,NA,,14,2.799999952,2.900000095,3.700000048,3.400000095,0.899999976,2.400000095,10,2.900000095,3.599999905,2.700000048,4.099999905,-0.200000003,0.899999976,,1,1,,1
91,"Conklyn, 2012",All,1,2,1,Broca,Yes,,<9 months,Nonfluent aphasia (Broca),MMIT,no MMIT,MMIT vs no-MMIT,Speech improvement,,Rhythm-based therapy,Melodic intonation therapy,modified MIT,No improvisation,no,Patients without musical experience,Adjusted total,Adjusted total = (responsive score × 2.5) + (repetitive score × 0.625). ,Total,NA,NA,NA,,14,18.89999962,14.89999962,24.20000076,16.10000038,5.300000191,8.899999619,10,17.5,17.5,16.39999962,19.60000038,-1.100000024,5.400000095,,1,1,1,
517,"Qiu, 2003",All,1,2,1,Basal Ganglia,Yes,Subacute,<1 month,NA (Basal ganglia),Music programmable acupuncture therapy,Western medicine treatment,MPAT vs WMT,Comprehension,,No rhythm-based therapy,No melodic intonation therapy,no MIT,No improvisation,no,Patients without musical experience,comprehension,Chinese aphasia checklist,NA,NA,4 weeks,4 weeks,,29,57.15999985,36.79999924,140.8500061,51.68999863,,,25,58.79999924,35.52999878,92.5,48.11999893,,,,1,0,2,
517,"Qiu, 2003",All,1,2,1,Basal Ganglia,Yes,Subacute,<1 month,NA (Basal ganglia),Music programmable acupuncture therapy,Western medicine treatment,MPAT vs WMT,,Naming,No rhythm-based therapy,No melodic intonation therapy,no MIT,No improvisation,no,Patients without musical experience,naming,Chinese aphasia checklist,NA,NA,4 weeks,4 weeks,,29,5.619999886,1.590000033,18.51000023,12.59000015,,,25,6.019999981,5.099999905,12,7.570000172,,,,1,0,,1
517,"Qiu, 2003",All,1,2,1,Basal Ganglia,Yes,Subacute,<1 month,NA (Basal ganglia),Music programmable acupuncture therapy,Western medicine treatment,MPAT vs WMT,,Repetition,No rhythm-based therapy,No melodic intonation therapy,no MIT,No improvisation,no,Patients without musical experience,repetition,Chinese aphasia checklist,NA,NA,4 weeks,4 weeks,,29,9,6.079999924,38.31000137,18.55999947,,,25,10.43999958,8.340000153,25.04000092,17.79999924,,,,1,0,,1
517,"Qiu, 2003",All,1,2,1,Basal Ganglia,Yes,Subacute,<1 month,NA (Basal ganglia),Music programmable acupuncture therapy,Western medicine treatment,MPAT vs WMT,Speech improvement,Spontanous speech,No rhythm-based therapy,No melodic intonation therapy,no MIT,No improvisation,no,Patients without musical experience,spontaneous speech,Chinese aphasia checklist,NA,NA,4 weeks,4 weeks,,29,16.10000038,5.090000153,40.63000107,21.29999924,,,25,18.23999977,13.46000004,27.71999931,14.85000038,,,,1,0,1,1
764,"Zumbansen, 2016",All,1,,1,All,No,Chronic,12 - 423 months,NA,Choir,Drama,Choir vs Drama,,Motor-speech skills,No rhythm-based therapy,No melodic intonation therapy,no MIT,No improvisation,yes,Patients with musical experience,motor-speech ability,Apraxia battery for adults (ABA2),NA ,NA,6 months,24 weeks,,7,14,7.679999828,14.14000034,5.840000153,0.100000001,4.699999809,8,9.630000114,7.090000153,9.630000114,7.539999962,0,2.099999905,,1,1,,1
764,"Zumbansen, 2016",All,,2,1,All,No,Chronic,12 - 423 months,NA,Choir,Waiting list,Choir vs Waiting list,,Motor-speech skills,No rhythm-based therapy,No melodic intonation therapy,no MIT,No improvisation,yes,Patients with musical experience,motor-speech ability,Apraxia battery for adults (ABA2),NA ,NA,6 months,24 weeks,,7,14,7.679999828,14.14000034,5.840000153,0.100000001,4.699999809,8,12,7.639999866,12,8.960000038,0,5.599999905,,1,1,,1
764,"Zumbansen, 2016",All,1,,1,All,No,Chronic,12 - 423 months,NA,Choir,Drama,Choir vs Drama,Mood,,No rhythm-based therapy,No melodic intonation therapy,no MIT,No improvisation,yes,Patients with musical experience,positive mood,VAMS,NA,NA,6 months,24 weeks,,7,971,6.880000114,964.289978,12.59000015,-6.699999809,9.399999619,8,977.1300049,6.710000038,974.5,9.270000458,-2.5,6.099999905,,1,1,3,
764,"Zumbansen, 2016",All,,2,1,All,No,Chronic,12 - 423 months,NA,Choir,Waiting list,Choir vs Waiting list,Mood,,No rhythm-based therapy,No melodic intonation therapy,no MIT,No improvisation,yes,Patients with musical experience,positive mood,VAMS,NA,NA,6 months,24 weeks,,7,971,6.880000114,964.289978,12.59000015,-6.699999809,9.399999619,8,980.4299927,3.549999952,979.8599854,4.340000153,-0.5,4.099999905,,1,1,3,
764,"Zumbansen, 2016",All,1,,1,All,No,Chronic,12 - 423 months,NA,Choir,Drama,Choir vs Drama,Quality of life - Overall,,No rhythm-based therapy,No melodic intonation therapy,no MIT,No improvisation,yes,Patients with musical experience,positive quality of life,short version of the Sickness Impact Profile ,NA,NA,6 months,24 weeks,,7,49.43000031,7.25,48.29000092,9.739999771,-1.100000024,5.300000191,8,68.25,14.35999966,71.75,14.51000023,3.5,4.900000095,,1,1,8,
764,"Zumbansen, 2016",All,,2,1,All,No,Chronic,12 - 423 months,NA,Choir,Waiting list,Choir vs Waiting list,Quality of life - Overall,,No rhythm-based therapy,No melodic intonation therapy,no MIT,No improvisation,yes,Patients with musical experience,positive quality of life,short version of the Sickness Impact Profile ,NA,NA,6 months,24 weeks,,7,49.43000031,7.25,48.29000092,9.739999771,-1.100000024,5.300000191,8,63.70999908,9.460000038,63.43000031,10.67000008,-0.400000006,5.900000095,,1,1,8,
764,"Zumbansen, 2016",All,1,,1,All,No,Chronic,12 - 423 months,NA,Choir,Drama,Choir vs Drama,,,No rhythm-based therapy,No melodic intonation therapy,no MIT,No improvisation,yes,Patients with musical experience,Verbal score,TLC (test Lillois de Communication),verbal ,NA,6 months,24 weeks,,7,21.13999939,3.890000105,21.86000061,2.269999981,0.699999988,3.200000048,8,21.5,5.730000019,21.75,6.179999828,0.300000012,0.899999976,,1,1,,
764,"Zumbansen, 2016",All,,2,1,All,No,Chronic,12 - 423 months,NA,Choir,Waiting list,Choir vs Waiting list,,,No rhythm-based therapy,No melodic intonation therapy,no MIT,No improvisation,yes,Patients with musical experience,Verbal score,TLC (test Lillois de Communication),verbal ,NA,6 months,24 weeks,,7,21.13999939,3.890000105,21.86000061,2.269999981,0.699999988,3.200000048,8,21.13999939,3.529999971,21.29000092,4.420000076,0.100000001,1.5,,1,1,,
764,"Zumbansen, 2016",All,1,,1,All,No,Chronic,12 - 423 months,NA,Choir,Drama,Choir vs Drama,,,No rhythm-based therapy,No melodic intonation therapy,no MIT,No improvisation,yes,Patients with musical experience,non-verbal score,TLC (test Lillois de Communication),non-verbal,NA,6 months,24 weeks,,7,19.43000031,6,23.56999969,4.5,4.099999905,5.599999905,8,22.87999916,6.059999943,24.55999947,4.369999886,0.899999976,2.299999952,,1,1,,
764,"Zumbansen, 2016",All,,2,1,All,No,Chronic,12 - 423 months,NA,Choir,Waiting list,Choir vs Waiting list,,,No rhythm-based therapy,No melodic intonation therapy,no MIT,No improvisation,yes,Patients with musical experience,non-verbal score,TLC (test Lillois de Communication),non-verbal,NA,6 months,24 weeks,,7,19.43000031,6,23.56999969,4.5,4.099999905,5.599999905,8,23.13999939,2.039999962,23.43000031,2.150000095,0.300000012,1.700000048,,1,1,,
764,"Zumbansen, 2016",All,1,,1,All,No,Chronic,12 - 423 months,NA,Choir,Drama,Choir vs Drama,,Naming,No rhythm-based therapy,No melodic intonation therapy,no MIT,No improvisation,yes,Patients with musical experience,naming,MT86 and ABA2,naming tasks,(ABA2: subtest 4),6 months,24 weeks,,7,26.86000061,12.84000015,28.70999908,10.35999966,2,3.299999952,8,22.37999916,12.97999954,23.62999916,13.47999954,1.299999952,2.299999952,,1,1,,1
764,"Zumbansen, 2016",All,,2,1,All,No,Chronic,12 - 423 months,NA,Choir,Waiting list,Choir vs Waiting list,,Naming,No rhythm-based therapy,No melodic intonation therapy,no MIT,No improvisation,yes,Patients with musical experience,naming,MT86 and ABA2,naming tasks,(ABA2: subtest 4),6 months,24 weeks,,7,26.86000061,12.84000015,28.70999908,10.35999966,2,3.299999952,8,27.13999939,8.930000305,28.86000061,7.650000095,1.700000048,3,,1,1,,1
764,"Zumbansen, 2016",All,1,,1,All,No,Chronic,12 - 423 months,NA,Choir,Drama,Choir vs Drama,,,No rhythm-based therapy,No melodic intonation therapy,no MIT,No improvisation,yes,Patients with musical experience,automatised series ,MT86,NA,NA,6 months,24 weeks,,7,12.43000031,1.620000005,12.43000031,0.980000019,0,1.299999952,8,10.38000011,2.559999943,11.25,3.059999943,0.899999976,2.5,,1,1,,
764,"Zumbansen, 2016",All,,2,1,All,No,Chronic,12 - 423 months,NA,Choir,Waiting list,Choir vs Waiting list,,,No rhythm-based therapy,No melodic intonation therapy,no MIT,No improvisation,yes,Patients with musical experience,automatised series ,MT86,NA,NA,6 months,24 weeks,,7,12.43000031,1.620000005,12.43000031,0.980000019,0,1.299999952,8,10.56999969,2.99000001,10.71000004,1.379999995,0.100000001,2.299999952,,1,1,,
764,"Zumbansen, 2016",All,1,,1,All,No,Chronic,12 - 423 months,NA,Choir,Drama,Choir vs Drama,Comprehension,Reading comprehension,No rhythm-based therapy,No melodic intonation therapy,no MIT,No improvisation,yes,Patients with musical experience,comprehension of words and sentences,MT86,Language comprehension,NA,6 months,24 weeks,,7,39.86000061,6.739999771,38.43000031,7.320000172,-1.399999976,2,8,42,7.5,39.88000107,8.680000305,-2.099999905,2.700000048,,1,1,2,2
764,"Zumbansen, 2016",All,,2,1,All,No,Chronic,12 - 423 months,NA,Choir,Waiting list,Choir vs Waiting list,Comprehension,Reading comprehension,No rhythm-based therapy,No melodic intonation therapy,no MIT,No improvisation,yes,Patients with musical experience,comprehension of words and sentences,MT86,Language comprehension,NA,6 months,24 weeks,,7,39.86000061,6.739999771,38.43000031,7.320000172,-1.399999976,2,8,42.70999908,6.849999905,44,6.21999979,1.299999952,3.200000048,,1,1,2,2
764,"Zumbansen, 2016",All,1,,1,All,No,Chronic,12 - 423 months,NA,Choir,Drama,Choir vs Drama,,Repetition,No rhythm-based therapy,No melodic intonation therapy,no MIT,No improvisation,yes,Patients with musical experience,repetition,MT86 and ABA2,repetition tasks ,(ABA2: subtests 2 and 5),6 months,24 weeks,,7,161.5700073,26.04999924,162.4299927,24.53000069,0.699999988,4.800000191,8,138.25,49.88999939,138.1300049,51.45999908,-0.100000001,5.400000095,,1,1,,1
764,"Zumbansen, 2016",All,,2,1,All,No,Chronic,12 - 423 months,NA,Choir,Waiting list,Choir vs Waiting list,,Repetition,No rhythm-based therapy,No melodic intonation therapy,no MIT,No improvisation,yes,Patients with musical experience,repetition,MT86 and ABA2,repetition tasks ,(ABA2: subtests 2 and 5),6 months,24 weeks,,7,161.5700073,26.04999924,162.4299927,24.53000069,0.699999988,4.800000191,8,138.7100067,27.54999924,140.5700073,24.51000023,1.899999976,7.5,,1,1,,1
764,"Zumbansen, 2016",All,1,,1,All,No,Chronic,12 - 423 months,NA,Choir,Drama,Choir vs Drama,,,No rhythm-based therapy,No melodic intonation therapy,no MIT,No improvisation,yes,Patients with musical experience,connected speech informativeness,# of CIU in a speech sample by the number of words in the sample,NA,NA,6 months,24 weeks,,7,28.43000031,9.949999809,29.86000061,11.35000038,1.399999976,3.599999905,8,30.75,14.85999966,32.75,14.25,2.200000048,5.199999809,,1,1,,
